Product ID,Code,Name,Description,Calculated Price,Fixed Shipping Price,Free Shipping,Weight,Category Details,Page Title,Product URL,Redirect Old URL?,Product Tax Code
105,BK_OWTable,The Oldways Table Book,"The Oldways Table compiles more than 15 years of groundbreaking work into an accessible food reference, filled with the flavors, preparations, and lessons of the world's great cuisines and cooks. An eclectic resource to be sampled or savored, The Oldways Table is a treasury of great recipes, a dietary guide, and an informed tribute to the world's most influential food traditions.  ""If I were asked to name the one group that has most influenced the way we eat today, my answer would be Oldways."" --Jeffrey Steingarten, author of The Man Who Ate Everything.",29.99,0,N,3,"Category Name: Books, Category Path: Shop by Materials/Books|Category Name: Shop All Products, Category Path: Shop All Products",The Oldways Table Book,/the-oldways-table-book/,,
106,POS_MedPyr,Mediterranean Diet Pyramid Poster,"This Mediterranean Diet Pyramid Poster beautifully and invitingly depicts the healthy foods and drinks of the Mediterranean diet.  In 1993 Oldways created the Mediterranean Diet Pyramid – in partnership with the Harvard School of Public Health and the World Health Organization (WHO) – as a healthier alternative to the USDA’s original food pyramid. Today, the Mediterranean Diet is more popular than ever, with new research every month documenting its beneﬁts, and chefs and home cooks alike embracing Mediterranean ingredients and ﬂavors. The Mediterranean Diet Pyramid includes: Core foods to enjoy every day: whole grains, fruits, vegetables, beans, herbs, spices, nuts and healthy fats such as olive oil. Twice weekly servings of ﬁsh and seafood. Moderate portions of dairy foods, eggs, and occasional poultry. Infrequent servings of red meats and sweets. An emphasis on the importance of physical activity and enjoying healthy meals with friends and family. The Mediterranean Diet Pyramid color poster is 24"" x 36"" in size, and printed on glossy poster stock. Illustrated by George Middleton. The Pyramid is also available as magnets, cards, and tear-pads for inspiration and reminders of the best foods to select for good health. ____________________________ About the Mediterranean Diet  The Mediterranean Diet features a wide variety of plant-based food including vegetables, fruits, whole grains, nuts, legumes, beans, herbs, spices, and olive oil. Foods eaten in moderation include fish, seafood, poultry, eggs, and dairy. Desserts and red meat are saved for special occasions.  Research has linked the Mediterranean Diet to many health benefits such as reducing the risk of cardiovascular disease. In 2019, U.S. News and World Report ranked the Mediterranean Diet as the #1 Best Diet Overall, Best Diabetes Diet, Best Diet for Healthy Eating, Best Heart-Healthy Diet, Best Plant-Based Diet, and Easiest Diet to Follow. ____________________________ Bulk Orders, Co-branding & Promotions Discounts are available for purchases of 10 or more, and appear automatically during the checkout process. This product is available for co-branding! For more information, contact store@oldwayspt.org.",19.99,0,N,0.5,"Category Name: Posters + Cards, Category Path: Shop by Materials/Posters + Cards|Category Name: Mediterranean, Category Path: Shop by Topic/Mediterranean|Category Name: Shop All Products, Category Path: Shop All Products",Oldways Mediterranean Diet Pyramid Poster,/mediterranean-diet-pyramid-poster/,,
107,POS_LatPyr,Latin American Diet Pyramid Poster,"Oldways' Latin-American Diet Pyramid Poster illustrates the common roots of healthy food traditions in all Latin-American countries. Labeled in both Spanish and English, this poster reinforces cultural pride and reminds us that the real culinary heritage of Latino foods is much healthier and more vibrant than many people realize. This 4-color poster is 24"" x 36"" in size, and printed on glossy poster stock. Illustrated by George Middleton. Discounts are available for purchases of 10 or more, and appear automatically during the checkout process. This product is available for co-branding! For more information, contact store@oldwayspt.org.  ",19.99,0,N,0.5,"Category Name: Posters + Cards, Category Path: Shop by Materials/Posters + Cards|Category Name: Latin American, Category Path: Shop by Topic/Latin American|Category Name: Shop All Products, Category Path: Shop All Products",Oldways Latin American Diet Pyramid Poster,/latin-american-diet-pyramid-poster/,,
108,POS_VegPyr,Vegetarian & Vegan Diet Pyramid Poster,"Oldways' Vegetarian and Vegan Diet Pyramid reflects the variety of delicious, healthy foods, such as vegetables, fruits, nuts, seeds, whole grains, legumes, herbs and spices, that fit into a healthy vegetarian or vegan diet. Use the whole pyramid for a vegetarian diet -- or skip the top section, to depict a vegan diet. This 4-color poster is 24"" x 36"" in size and printed on glossy poster stock. Illustrated by George Middleton. Discounts are available for purchases of 10 or more, and appear automatically during the checkout process. This product is available for co-branding! For more information, contact store@oldwayspt.org.  ",19.99,0,N,1,"Category Name: Posters + Cards, Category Path: Shop by Materials/Posters + Cards|Category Name: Vegetarian, Category Path: Shop by Topic/Vegetarian|Category Name: Shop All Products, Category Path: Shop All Products",Oldways Vegetarian & Vegan Diet Pyramid Poster,/vegetarian-vegan-diet-pyramid-poster/,,
109,BRO_Med,Welcome to the Mediterranean Diet Trifold Brochure (100 pcs),"Updated in 2019, this brochure is the perfect introduction to the gold-standard healthy Mediterranean diet, with easy guidelines and mouth-watering photos. This is a set of 100 copies of the tri-fold brochure. This brochure is the perfect handout for medical offices, health centers, counseling centers, community centers, hospitals, and any place that educates people about how to follow the Mediterranean diet. Discounts are available for purchases of 10 or more set of brochures (each sets contains 100 copies of the brochure). The discount will appear automatically during the checkout process. This product is available for co-branding! For more information, contact store@oldwayspt.org.  ",39.99,0,N,1,"Category Name: Brochures, Category Path: Shop by Materials/Brochures|Category Name: Mediterranean, Category Path: Shop by Topic/Mediterranean|Category Name: Shop All Products, Category Path: Shop All Products",Oldways Welcome to the Mediterranean Diet Trifold Brochure,/welcome-to-the-mediterranean-diet-trifold-brochure-75-pcs/,,
110,PIN_WGButtons,Just Ask For Whole Grains Buttons (Bag of 100),"These 1"" lapel buttons saying ""Just Ask for Whole Grains"" can be used in so many ways!  Make a perfect giveaway at your next tradeshow event Fun for schools teaching better nutrition Increase whole grain sales at an instore-bakery, when staff wear them.  1"" metal button with safety-pin type attachment. Sold in bags of 100 pieces, each button in an individual polybag.",19.99,0,N,1,"Category Name: Whole Grain, Category Path: Shop by Topic/Whole Grain|Category Name: Buttons + Pins, Category Path: Shop by Materials/Buttons + Pins|Category Name: Shop All Products, Category Path: Shop All Products",Whole Grains Council Just Ask For Whole Grains Buttons,/just-ask-for-whole-grains-buttons-bag-of-100/,,
111,BRO_Veg,Welcome to the Vegetarian/Vegan Diet Trifold Brochure (100 pcs),"SAVE NOW - QUANTITIES ARE LIMITED! WHEN OUR CURRENT STOCK HAS SOLD OUT, WE WILL BE RELEASING A NEWLY DESIGNED VERSION.   This brochure is the place to start, if you want to learn about vegetarian and vegan diets. Sold in sets of 100 tri-fold brochures.                                                      Discounts are available for purchases of 10 or more, and appear automatically during the checkout process. This product is available for co-branding! For more information, contact store@oldwayspt.org.  ",39.99,0,N,1,"Category Name: Sale, Category Path: Sale|Category Name: Brochures, Category Path: Shop by Materials/Brochures|Category Name: Vegetarian, Category Path: Shop by Topic/Vegetarian|Category Name: Shop All Products, Category Path: Shop All Products",Oldways Welcome to the Vegetarian/Vegan Diet Trifold Brochure,/welcome-to-the-vegetarian-vegan-diet-trifold-brochure-75-pcs/,,
112,BRO_Afr,Welcome to the African Heritage Diet Trifold Brochure (100 pcs),"SAVE NOW - QUANTITIES ARE LIMITED! WHEN OUR CURRENT STOCK HAS SOLD OUT, WE WILL BE RELEASING A NEWLY DESIGNED VERSION.   Our brief and easy-to-understand overview of the African Heritage Diet. Sold in sets of 100 tri-fold brochures. Discounts are available for purchases of 10 or more, and appear automatically during the checkout process. This product is available for co-branding! For more information, contact store@oldwayspt.org.  ",39.99,0,N,1,"Category Name: Sale, Category Path: Sale|Category Name: Brochures, Category Path: Shop by Materials/Brochures|Category Name: African, Category Path: Shop by Topic/African|Category Name: Shop All Products, Category Path: Shop All Products",Oldways Welcome to the African Heritage Diet Trifold Brochure ,/welcome-to-the-african-heritage-diet-trifold-brochure-75-pcs/,,
113,BRO_WG,Welcome to Whole Grains Trifold Brochure (100 pcs),"SAVE NOW - QUANTITIES ARE LIMITED! WHEN OUR CURRENT STOCK HAS SOLD OUT, WE WILL BE RELEASING A NEWLY DESIGNED VERSION.   We call this our ""Whole Grains 101"" trifold, because it contains all the basics you need to know about whole grains. Sold in sets of 100 tri-fold brochures. Discounts are available for purchases of 10 or more, and appear automatically during the checkout process. This product is available for co-branding! For more information, contact store@oldwayspt.org.  ",39.99,0,N,1,"Category Name: Sale, Category Path: Sale|Category Name: Brochures, Category Path: Shop by Materials/Brochures|Category Name: Whole Grain, Category Path: Shop by Topic/Whole Grain|Category Name: Shop All Products, Category Path: Shop All Products",Welcome to Whole Grains Trifold Brochure ,/welcome-to-whole-grains-trifold-brochure-75-pcs/,,
114,PIN_WGStampPin,Whole Grain Stamp Pin,"Show your support for healthy whole grains with our Look for Whole Grain lapel pin. Gold-color metal pin with cloisonné enamel is 1"" tall x 3/4"" wide, with a secure butterfly clasp on the back. Comes in a clear plastic presentation box.",7.99,0,N,1,"Category Name: Whole Grain, Category Path: Shop by Topic/Whole Grain|Category Name: Buttons + Pins, Category Path: Shop by Materials/Buttons + Pins|Category Name: Shop All Products, Category Path: Shop All Products",Whole Grain Stamp Pin,/whole-grain-stamp-pin/,,
